hotel_name,rating,review_count,hotel_rank,amenities,languages,hotel_class,price,best_price_source,restraunts_nearby,attractions_nearby,good_for_walkers_out_of_100,lat_long_link,best_features_as_per_reviews,city,cuisines,restaurant_names,lat,lon
Daiwa Roynet Hotel Tokyo Ariake,4.0,81.0,4.0,"['Free High Speed Internet (WiFi)', 'Wifi', 'Restaurant', 'Air conditioning', 'Safe', 'Refrigerator', 'Non-smoking rooms', 'Suites']","['English', 'Japanese']","['Trendy', 'Business']",,,94.0,6.0,94.0,"3-7-3, Ariake, Koto 135-0063 Tokyo Prefecture","['Location', 'Cleanliness', 'Service', 'Value']",Tokyo,"{'Dining bars': 1, 'Beer restaurants': 1}","['Akarie', 'The Roof', 'Hibiya Matsumotoro Tokyo Big Sight', 'Kafeteriamameido', 'Yakiniku Toraji Palette Town', 'Tsukijisushi Iwawanza Ariaketen', 'Doutor Coffee', 'Breeze of Bay International Exhibition Center ', 'Azumi Kokusai Tenjijo Station', 'Craft', 'Irorian Kiraku International Exhibition Center', 'Sona Area Tokyo Barbecue Garden', 'Madam Xenlon Ariake', ""Coco's Japan"", 'Daiba Chinese Cuisine Rakuen', 'Oriental Club', 'Nakamura Koumei Japanese Reastaurant', 'Galicia', ""Tully'S Coffee Cancer Institute Ariake Hospital"", 'Murata', ""McDonald's Ariake Park Bldg"", 'Cafe & Restaurant Rainbow', 'Georgetown', 'Seafood Restaurant Mexico, Tokyo Bay Ariake', 'Gazen Ariake', 'Shunkashuujitsu', 'Yoshinoya Ariake Central Tower', 'Doutor Coffee Shop Ariake Central Tower', 'Cafe E-Feel', 'Gokumen Takezo']",,
Hotel Metropolitan Tokyo Ikebukuro,4.0,,4.0,"['Paid private parking on-site', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Bar / lounge', 'Conference facilities', 'Banquet room', 'Facial treatments', '24-hour security', 'Parking', 'Wifi', 'Fitness / spa changing rooms', 'Coffee shop', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Breakfast in the room', 'Complimentary tea', 'Vending machine', 'Meeting rooms', 'Massage', 'Baggage storage', 'Currency exchange', 'Shops', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Blackout curtains', 'Air purifier', 'Housekeeping', 'Interconnected rooms available', 'Room service', 'Electric kettle', 'Flatscreen TV', 'Bidet', 'Safe', 'Telephone', 'Wardrobe / wardrobe', 'Bottled water', 'Clothes rack', 'Private bathrooms', 'Wake-up service / alarm clock', 'On-demand films', 'Radio', 'Bath / shower', 'Complimentary toiletries', 'Hair dryer', 'City view', 'Non-smoking rooms', 'Suites', 'Family rooms']","['English', 'Chinese', 'Japanese']","['Family', 'Quiet']",,,1705.0,82.0,98.0,"1-6-1 Nishiikebukuro, Toshima 171-8505 Tokyo Prefecture","['Location', 'Cleanliness', 'Service', 'Value']",Tokyo,"{'Cafe': 1, 'International': 1, 'BarPub': 1, 'Dining bars': 1, 'Wine Bar': 1, 'Japanese Fusion': 1, 'Kaiseki': 1}","['Sakura Cafe & Restaurant Ikebukuro', 'Cross Dine', 'Bar Orient Express', 'Pastry & Bakery Boutique', 'Cuisine Est', 'Hana Musashi Shunka', 'Hanamusashi', 'Chinese Keirin', 'Mezzanine Lounge Suzukake', 'Teppanyaki Sankaitei', 'Sushi Horikawa Ikebukuro Hotel Metropolitan', 'Fiorenteina', 'Ikebukuro Bistro Montparnasse', 'Otto Ikebukuro', 'Hanbagu Steak Miyazakitei', 'Fish & Wine Blue Ocean Grill', 'Rubantei', 'Mos Burger Tobu Ikebukuro', 'Royal Seafood & Marche Garden Minato Ikebukuro West Entrance', 'Hokuo Ikebukuro West Entrance', 'Doutor Coffee Nishi Ikebukuro 1chome Metropolitan', 'Mihashi', 'Gelato Pique Cafe Creperie, Lumine Ikebukuro', 'Dining & Bar Ovest', 'Tsubame Grill, Lumine Ikebukuro', 'Harvest Ikebukuro', 'PIZZA SALVATORE CUOMO, Ikebukuro West Entrace', 'Takewaka Ikebukuro', 'El Torito Ikebukuro Nishiguchi', 'Obon de Gohan Lumine Ikebukuro', 'Sai no An Lumine Ikebukuro']",,
ONSEN RYOKAN YUEN SHINJUKU,4.5,86.0,19.0,"['Free High Speed Internet (WiFi)', 'Wifi', 'Hot bath', 'Restaurant', 'Complimentary tea', 'Spa', '24-hour front desk', 'Self-serve laundry', 'Vending machine', 'Hot spring bath', 'Open-air bath', 'Blackout curtains', 'Air conditioning', 'Housekeeping', 'Telephone', 'Bottled water', 'Refrigerator', 'Flatscreen TV', 'Complimentary toiletries', 'Electric kettle', 'Hair dryer', 'Non-smoking rooms', 'Suites']","['English', 'Chinese', 'Japanese', 'Korean']",[],7662.0,ZenHotels.com,817.0,79.0,98.0,"5-3-18 Shinjuku, Shinjuku 160-0022 Tokyo Prefecture","['Location', 'Cleanliness', 'Service', 'Value']",Tokyo,"{'Healthy': 2, 'Asian': 2, 'Japanese': 4, 'Grill': 1, 'BarPub': 2, 'Italian': 1, 'Kaiseki': 1, 'Seafood': 2, 'Nepalese': 1, 'Pub': 1, 'Wine Bar': 1, 'Bar': 1, 'Brew Pub': 1, 'Cafe': 1, 'Sushi': 1}","['Sakuratei', 'Kakatojo', 'Encounter by Unplan', 'Pham Net', 'Danji Gyoza', 'Genkai Shokudo', 'Megane Shokudo', 'Genko', 'Vincero', 'Ragazza Indomabile', 'Ton Thai Shinjuku', 'Kazama', 'Goo ITALIANO', 'Yakiniku Keizan', 'Tomihisa Ice Cream', 'Kobushi Shinjuku 6chome', 'Nobutaro', 'Sports Cafe Dining Fiori', 'Shinkei', 'Mizutaki Genkai', 'KEITEL', 'Woo Ma Qoo', 'Forst 6-Chome', 'Himuchuli Curry Pub & Bar', 'Oyster Bar Wharf', 'Amamiya', 'ZEN', 'Chanko Nabe Ryokoku Shinjuku Gyoen-Mae', 'Shinjuku Namahamu', 'Himalayan Dining Sagun', 'Maid Cafe and Bar Trump', 'Yoshoku Kobaya', 'Hong Kong Rurohan Noodle', 'Gusto Shinjuku 1-Chome', 'Chinese Cuisine Fan', 'Nama Ham Shinjuku', 'Gonpachi Nori-Temaki Harajuku']",,
Rembrandt Style Tokyo Nishikasai,4.0,461.0,4.0,"['Paid private parking on-site', 'Free High Speed Internet (WiFi)', 'Free breakfast', 'Free shuttle or taxi services', 'Banquet room', 'Meeting rooms', 'Massage', 'Baggage storage', 'Parking', 'Wifi', 'Coffee shop', 'Restaurant', 'Breakfast buffet', 'Vending machine', 'Shuttle bus service', 'Salon', 'Concierge', 'Currency exchange', 'Non-smoking hotel', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Self-serve laundry', 'Bathrobes', 'Air conditioning', 'Desk', 'Housekeeping', 'Safe', 'Refrigerator', 'Flatscreen TV', 'Bath / shower', 'On-demand films', 'Complimentary toiletries', 'Hair dryer', 'Non-smoking rooms', 'Smoking rooms available']","['English', 'Chinese', 'Japanese', 'Nepali']","['Modern', 'Business']",,,305.0,4.0,87.0,"6-17-9 Nishikasai, Edogawa 134-0088 Tokyo Prefecture","['Location', 'Cleanliness', 'Service', 'Value']",Tokyo,"{'Pub': 1, 'Kyoto cuisine': 1}","['Fontaine', 'Cafe Dining Palm Tree', 'Uttori', 'Koso', 'Kanouya', 'Capricciosa Nishikasai', 'Batabataya Nishi Kasai', 'Yamaimo No Ooi Restaurant', 'Shimagohan', 'Kodawarimon Ikka Nishikasaiten', 'Abara Daikon', 'Tonkatsuden', 'Delhi Dhaba', 'Royal Host', 'Mister Donut Nishikasai Ekimae Shop', 'Mumbai Kitchen', 'Eltorito Nishikasaiten', 'Kinya', 'Saizeriya Nishikasai Station South Entrance', 'Tonari Nishikasai', 'Toritetsu Nishi-kasai', 'Ramen Kagetsuarashi Nishikasai Metro Center', 'Katsuya Tokyo Nishikasai', 'Ramen Yoshibe Nishikuzu', 'Hari Indian restaurant & Bar', 'Tenfuji', 'Yoshinoya Nishikasai Station 1 Bangai', 'Domadoma Nishikasaiten', 'Doutor Coffee Shop, Nishikasai South Entrance', 'Italian Restaurant Sicilia']",,
HOTEL UNIZO Ginza-nanachome,3.5,86.0,27.0,"['Free High Speed Internet (WiFi)', 'Hot bath', 'Coffee shop', 'Massage', 'Baggage storage', 'Non-smoking hotel', '24-hour front desk', 'Laundry service', 'Wifi', 'Restaurant', 'Breakfast available', 'Complimentary instant cofffee', 'Complimentary tea', 'Vending machine', 'Self-serve laundry', 'Blackout curtains', 'Air purifier', 'Air conditioning', 'Desk', 'Housekeeping', 'Room service', 'Refrigerator', 'Bath / shower', 'Safe', 'Telephone', 'Clothes rack', 'Iron', 'Wake-up service / alarm clock', 'Complimentary toiletries', 'Hair dryer', 'Non-smoking rooms', 'Smoking rooms available']","['English', 'Japanese']","['Business', 'Centrally Located']",,,3098.0,375.0,100.0,"7-10-9, Ginza, Chuo 104-0061 Tokyo Prefecture","['Location', 'Cleanliness', 'Service', 'Value']",Tokyo,"{'Central-Italian': 1, 'Italian': 1, 'Tuscan': 1, 'BarPub': 1, 'Pub': 2, 'Brew Pub': 1, 'Bar': 2, 'Dining bars': 2, 'PubDining bars': 1, 'Kyoto cuisineJapanese Fusion': 1, 'Diner': 1}","['La Gioconda', 'Tempura Yasuda', ""Ginza M's Cafe"", 'Ginza Janome', 'Zenigata', 'Ginza Miyama', 'Ginza 300 Bar Next', 'Coffee&Bistro Katsuki', 'Katsuki Ginza Honten', 'Blondel Ginza Cafe', 'Sato (310). Coffee', 'Wine Studio Ruan', 'Bar Yu-Nagi', 'Sushi Arai', 'Tara', 'Sushi No Sukeroku', 'Wakaba Ginza Honten', 'Bagus Golka', 'Gion', 'Soraginza', 'Ginza Yakiniku Hachiichi', 'Kyoto Style Dining Omattosan Kizuna', 'Yasai No Osama', '8-Chome Bar Ginza', 'Izakaya Imai Ginza Honten', ""Cheepa's Cafe"", 'Ginza Sushi Kanesaka', 'Spanish Club Gourmet Terrier Bodega', 'Ginza Tsuru', 'Casual Bar K', 'Komoro Soba Ginza Nanachome', 'Giaggiolo', 'Oreno Grand Market']",,
Shinjuku Granbell Hotel,4.0,,4.0,"['Parking', 'Free High Speed Internet (WiFi)', 'Bar / lounge', 'Taxi service', 'Spa', 'Rooftop terrace', '24-hour security', '24-hour check-in', 'Wifi', 'Coffee shop', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Complimentary instant cofffee', 'Complimentary tea', 'Vending machine', 'Rooftop bar', 'Baggage storage', 'Concierge', 'Currency exchange', 'Non-smoking hotel', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Self-serve laundry', 'Blackout curtains', 'Air conditioning', 'Housekeeping', 'Room service', 'Safe', 'Refrigerator', 'Flatscreen TV', 'Bath / shower', 'Wake-up service / alarm clock', 'Complimentary toiletries', 'Hair dryer', 'Non-smoking rooms', 'Suites', 'Smoking rooms available']","['English', 'Japanese']","['Modern', 'Mid-range']",,,2084.0,154.0,100.0,"2-14-5, Kabukicho, Shinjuku 160-0021 Tokyo Prefecture","['Location', 'Cleanliness', 'Service', 'Value']",Tokyo,"{'Steakhouse': 1, 'American': 2, 'Fast food': 1, 'Cafe': 1, 'BarPub': 4, 'International': 1, 'Healthy': 2, 'Bar': 1, 'Japanese': 4, 'Indonesian': 1, 'Thai': 1, 'Asian': 2, 'Grill': 2, 'Kyoto cuisine': 1, 'Kaiseki': 1, 'Seafood': 1}","['Shogun Burger Shinjyuku', 'Live Cafe G', 'Roof Top Bar & Terrace G', 'Koei', 'Shinshin', 'Sugawara', 'Human Restaurant', 'Liberty Emika', 'Yururabi', 'Es', 'Rakkyuya', 'Bar Compass', 'Namaste Dining & Bar', 'Ihawan', 'Tonchan Shinjuku Main Store', 'Blacks Word', 'Bar Kaelu Resort', 'Legend Ai', 'Sakuratei', 'Cafe&Bar S.E.A', 'Kantonnomoide Shinjuku', 'Yakiniku Itami Second Store Shinjuku', 'Koei Honten', 'Marujuku Mententen', 'Shinkei Ichigaya', 'Torafugutei Shinjuku', 'Teji Tokyo Main Shop ', 'Kyoto Style Tavern Bar Pontocho, Shinjuku Honten', 'Gohandokoro Yayoiken Shinjuku Meijidori', 'Kenshinryu', 'Shinkei', 'Gyoza-Specialty Lee Shinjuku Main shop', 'Tsumugi Honten', 'Sumibi-Yakiniku Shinjuku Ryuen', 'Kazenokura', 'Tokashisai', 'Oyster Bar Wharf']",35.6945429,139.7027105
karaksa hotel TOKYO STATION,4.5,68.0,3.0,"['Free High Speed Internet (WiFi)', 'Wifi', 'Hot bath', 'Restaurant', 'Complimentary tea', 'Baggage storage', 'Non-smoking hotel', 'Blackout curtains', 'Air conditioning', 'Bottled water', 'Refrigerator', 'Complimentary toiletries', 'Hair dryer', 'Non-smoking rooms', 'Family rooms']","['English', 'Japanese']",['Business'],5279.0,ZenHotels.com,1408.0,141.0,100.0,"1-5-3, Yaesu, Chuo 103-0028 Tokyo Prefecture","['Location', 'Cleanliness', 'Service', 'Value']",Tokyo,"{'Pub': 2, 'Brew Pub': 1, 'Bar': 2, 'Dining bars': 1, 'Wine Bar': 1, 'BarPub': 1}","['Ginza 300 Bar Next', 'Shunkafugetsu', 'Za Watami Yaesu 1Chome', 'Sumiyaki Teramae', 'Hantejiya Yaesu', 'Kirakubo', 'Bar Yu-Nagi', 'Shirogenkainada', 'Okinawa Slow Food Uumiya', 'Caspita! Tokyo', 'Kasupitatokyo', 'Charcoal', 'Minamiya', 'Isekadoya Beer Yaesu', 'Niginigiichi Yaesu Honkan', ""Kome'n Kitchen"", 'Tai Kou Rou, Tokyo Honten', 'Kitasatsuma Gyoko Yaesu', 'Kamayaki Pizza to Wine No Mise Bosso Yaesu', 'Dosanko Sakaba Morimachi Sigezo', 'Bosso Yaesu', 'Tokyo Ika Center', 'Kamiyaryu Hakata Dojo Yaesu', 'Kakurega Garden Teppan Bar AJITO Yaezu', 'Yakiniku Yazawa Tokyo', 'Grammo', 'Inataya Hanare', 'Tokyo Sutairu Sankusuyaesuten', 'Ajito Haesu Honten', 'Gyo-Bar Yaesu', 'Sukhumvit Soi Thong Lo Tokyo Yaesu', 'Kamiawa BAR']",,
Tobu Hotel Levant Tokyo,4.0,762.0,2.0,"['Parking', 'Free High Speed Internet (WiFi)', 'Hot bath', 'Bar / lounge', 'Airport transportation', 'Conference facilities', 'Banquet room', '24-hour security', 'Wifi', 'Coffee shop', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Complimentary tea', 'Kid-friendly buffet', 'Vending machine', 'Shuttle bus service', 'Meeting rooms', 'Baggage storage', 'Concierge', 'Currency exchange', 'Non-smoking hotel', 'Doorperson', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Blackout curtains', 'Air purifier', 'Air conditioning', 'Desk', 'Housekeeping', 'Refrigerator', 'Flatscreen TV', 'Bath / shower', 'Safe', 'Telephone', 'Wake-up service / alarm clock', 'Complimentary toiletries', 'Hair dryer', 'Non-smoking rooms', 'Suites', 'Family rooms']","['English', 'Japanese']","['Quiet', 'Mid-range']",,,735.0,44.0,89.0,"1-2-2 Kinshi, Sumida 130-0013 Tokyo Prefecture","['Location', 'Cleanliness', 'Service', 'Value']",Tokyo,"{'Healthy': 1, 'Asian': 2, 'Soups': 1, 'Japanese': 5, 'Sushi': 1, 'Pub': 1, 'Barbecue': 1, 'Grill': 1, 'Japanese Fusion': 1, 'Kappo': 1}","['MISOJYU', 'Super Dining Verdure', 'Lobby Lounge Crystal Movement', 'REN SKYTREE(R) VIEW RESTAURANT', 'Camel Diner Kinshicho', 'Haru', 'Genghis Khan Kirishima Asakusa', 'Sakura Coffee Lounge', 'Sake Bar Tocci Kinshicho', 'Kinyudo', 'Toriki', 'Somen, Kinshicho', 'Izuei Hoten', 'Akinozen', ""TULLY'S COFFEE Kinshicho Arca West"", 'Kushi-Age Ichikawa', 'Yoshoku E Italian Terzo3', 'Rosso Peperoncino Kinshicho', 'Hokkaido Ikuzo Ueno Honten', ""Shane's Burg Kinshicho"", 'Kitchen Hamaya', 'Fujiya Restaurant, Arcakit Kinshicho', 'Kushiya Monogatari Arcakit Kinshicho', 'Venus South Indian Dining', 'Chanko Kirishima Ryogoku Edo Noren', 'Bella Bella Kinshicho', 'Yayoiken Kinshicho North Entrance', 'Burger King Kinshimachi North Entrance', 'Kinshicho Komachi Dining', 'OOTOYA Arcakit Kinshicho', 'Kotegaeshi Arcakit Kinshicho', 'Rishotan Shosaikan', 'Misoraya', 'Kaisen Misakiko Kinshicho', 'Koboshi']",35.698214899999996,139.81605119999998
Mitsui Garden Hotel Gotanda,4.5,185.0,1.0,"['Free High Speed Internet (WiFi)', 'Hot bath', 'Restaurant', 'Children Activities (Kid / Family Friendly)', 'Spa', '24-hour security', 'Baggage storage', '24-hour front desk', 'Wifi', 'Breakfast available', 'Breakfast buffet', 'Complimentary instant cofffee', 'Complimentary tea', 'Vending machine', 'Open-air bath', 'Convenience store', 'Non-smoking hotel', 'Shops', 'Dry cleaning', 'Laundry service', 'Self-serve laundry', 'Blackout curtains', 'Soundproof rooms', 'Air conditioning', 'Fireplace', 'Housekeeping', 'Safe', 'Refrigerator', 'Bath / shower', 'Air purifier', 'Telephone', 'Bottled water', 'Clothes rack', 'Iron', 'Wake-up service / alarm clock', 'Complimentary toiletries', 'Hair dryer', 'Non-smoking rooms']","['English', 'Japanese']","['Mid-range', 'Business']",4576.0,ZenHotels.com,813.0,23.0,86.0,"2-2-6 Higashigotanda, Shinagawa 141-0022 Tokyo Prefecture","['Location', 'Cleanliness', 'Service', 'Value']",Tokyo,"{'Indian': 1, 'Fusion': 1, 'Asian': 1, 'Japanese': 2}","['Devi India Shinagawa', 'Tanto Tanto The Gardens Gotanda', 'Nitaki Uokin', 'Yakitoriya Sumire, Gotanda', 'Tometeba Gotanda', 'Akiyoshi', 'Miyabitei', 'Kyushu Netchuya Gotanda LIVE', 'Tonkatsu Kagurazaka Sakura Gotanda', 'Koryu-En', 'MR. Chicken Torihanten Gotanda', 'Salon de Fragrance Shaju', 'Shinkei Musashi Koyama', 'Doma Doma Gotanda East Entrance', 'Kamadoka Gotanda East Entrance', 'Kuimonoya Wan Gotanda East Entrance', 'Gotandauokin', 'Oniyamma', 'Hot Spoon, Gotanda', 'Koshuichiba Gotanda', 'Uokin Gotanda', 'Takahashi Yakitori', 'Oslo Coffee', 'Chinmaya Gotanda East Entrance Ekimae', 'Gotanda Shinanoya', 'Gotoda Sushi Tokyo 81', 'IPPUDO Gotanda Higashiguchi', 'Sushidokoro Tsutsui', 'Restaurant Francais MAY', 'Shokudo Todaka', 'Grill F', 'Kairikiya Gotanda', 'Nagasaki Champon Ringer Hut Gotanda Higashiguchi - Branch']",,
Tokyo Hotel Horidome Villa,4.0,609.0,38.0,"['Parking', 'Free High Speed Internet (WiFi)', 'Coffee shop', 'Massage', 'Baggage storage', 'Gift shop', '24-hour front desk', 'Laundry service', 'Wifi', 'Vending machine', 'Newspaper', 'Non-smoking hotel', 'Shops', 'Self-serve laundry', 'Ironing service', 'Air conditioning', 'Desk', 'Safe', 'Coffee / tea maker', 'Refrigerator', 'Flatscreen TV', 'Bath / shower', 'Complimentary toiletries', 'Hair dryer', 'Non-smoking rooms', 'Smoking rooms available']","['English', 'Japanese']","['Centrally Located', 'Quiet']",,,864.0,59.0,100.0,"1-10-10 Nihombashi Horidomecho, Chuo 103-0012 Tokyo Prefecture","['Location', 'Cleanliness', 'Service', 'Value']",Tokyo,"{'Central-Italian': 1, 'Italian': 1, 'Tuscan': 1, 'GrillDining barsBeer restaurants': 1, 'Pub': 2, 'Brew Pub': 1, 'Bar': 2, 'Dining bars': 1, 'Japanese Fusion': 1}","['La Gioconda', 'Kushikatsu Tanaka Kodemmacho Kenkyu Center', 'Nihonbashi Main Store Kurobyotan', 'Creative Cuisine Izakaya Nagomiya Ningyomachi Main Store', 'Yoshinoya Kodemmacho', 'DESI TANDOOR B.B.Q.', 'Ginza 300 Bar Next', 'Veloce Nihonbashi Horidome-Cho', 'Robata Kuzan', 'Chinese Izakaya Sangokushi', 'Taketombo Murasaki', 'Il Tamburello', 'Bar Yu-Nagi', 'La Sucette', 'SPAIN Kitchen OCHO', 'Osobatakamatsu', 'Sandwich Parlor Matsumura Kodemmacho', 'Casual Italian Ren', 'Tesoro', 'Uogashi Notenya Nihombashi Sohonten', 'Charcoal-Grilled Yakitori Shidori', 'Kitchen Jiro Horidome-Cho', 'Okinawadaidokoro Kuwacchiya', 'Owariya', 'Spaghetti Kokoro', 'Went 2 Go', 'Nanaya Kodenmacho', 'Ichiyu', 'Teshigotoya Fuku No Tori Kodemma-Cho', 'Fukunotori Kodemmacho', 'Masangyozasakaba Kodemmacho', 'Sake Bar Robata Peshi', 'Torikawa Nagamasa Ningyo-Cho']",,
Hotel Mystays Kameido,3.5,267.0,1.0,"['Parking', 'Free High Speed Internet (WiFi)', 'Hot bath', 'Breakfast available', 'Baggage storage', 'Non-smoking hotel', '24-hour check-in', '24-hour front desk', 'Wifi', 'Vending machine', 'Laundry service', 'Self-serve laundry', 'Air conditioning', 'Desk', 'Wake-up service / alarm clock', 'Microwave', 'Refrigerator', 'Flatscreen TV', 'Bath / shower', 'Complimentary toiletries', 'Hair dryer', 'Non-smoking rooms', 'Smoking rooms available']","['English', 'Japanese']",['Budget'],,,324.0,9.0,82.0,"6-32-1, Kameido, Koto 136-0071 Tokyo Prefecture","['Location', 'Cleanliness', 'Service', 'Value']",Tokyo,"{'Japanese Fusion': 1, 'Asian': 1, 'Chinese': 1, 'Mongolian': 1, 'Dining bars': 1, 'Pub': 1}","['Yozen', 'Yumcha Tavern Hongkongtei Kameido', 'Music Pub Dream', 'Saiyuzen', 'Monja Komachi', 'Washun Shoan', 'Rosu Panchosu', 'Arbreve', 'Delicious', 'Wa Dokoro Imai', 'Thai Restaurant Thong 555', 'Okinawan Restaurant Chatan', 'Sukimahal Kameido', 'Indian Restaurant Sunali', 'Western Confectionery Dokoro Mashumarutei', 'Sushiya no Sukeroku', 'Ramen Ya', 'Meishu Izakaya Hamayoshi', 'Shales Boyle Kameido', 'Seishukuhanten', 'Sengyo Chokuso Uonchu', 'Ramen Jun Kameido', 'Meigaragyunikunosato', 'Decary', 'Suechanchi', 'Kuronjo Hanten', ""Pizzeria e Braceria L'INSIEME"", 'Tsukiji de Don Don', 'Namaste Kitchen', 'Hinabeya Kameido', 'Fleur Cafe']",,
Dormy inn Premium Shibuya Jingumae,4.5,646.0,2.0,"['Valet parking', 'Free High Speed Internet (WiFi)', 'Hot bath', 'Sauna', 'Breakfast available', 'Bicycles available', 'Spa', 'Baggage storage', 'Paid private parking on-site', 'Wifi', 'Breakfast buffet', 'Vending machine', 'Hot spring bath', 'Concierge', 'Non-smoking hotel', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Self-serve laundry', 'Air conditioning', 'Desk', 'Housekeeping', 'Safe', 'Refrigerator', 'Flatscreen TV', 'Bath / shower', 'Complimentary toiletries', 'Seating area', 'Telephone', 'Iron', 'Hair dryer', 'Non-smoking rooms', 'Family rooms', 'Smoking rooms available']","['English', 'Chinese', 'Japanese', 'Korean']","['Quiet', 'Modern']",6613.0,ZenHotels.com,518.0,83.0,100.0,"6-24-4 Jingumae, Shibuya 150-0001 Tokyo Prefecture","['Location', 'Cleanliness', 'Service', 'Value']",Tokyo,"{'European': 1, 'Wine Bar': 1, 'Italian': 3, 'Spanish': 1, 'Cafe': 2, 'Grill': 1, 'Japanese Fusion': 1, 'Asian': 3, 'Japanese': 2, 'Seafood': 2, 'BarPub': 2, 'BarDiner': 1, 'Brew Pub': 1, 'Brew PubSouthwesternBar': 1, 'Indian': 1, 'Healthy': 2, 'Sushi': 1, 'BarPubGastropub': 1}","['CAFE Legato', 'Bar Hatago', 'Abahouse Cafe, Harajuku', 'Wagyu Dining Panga Shibuya', 'Binowa Cafe', 'Teppan Baby Shibuya', 'New Marco', 'Starbucks Coffee Jingumae Rokuchome', 'Donna Selvatica', 'Bamiyan Jingu-Mae', 'Rethink Cafe Shibuya', 'Under Deer Lounge', 'Kushiyaki Kuromatsuya Shibuya', 'Paddlers Coffee', 'Kawaraya', 'Freshness Burger, Cat Street', 'Egg Stand in Harajuku', 'Cafe Apres midi', 'Goo ITALIANO', 'Pankontomate Jingumae', 'Suzu Cafe Jingumae', 'The Great Burger', 'The Roastery by Nozy Coffee', 'SMOKEHOUSE by T.Y.HARBOR BREWERY', 'Bharati Indian Restaurant', 'Au Temps Jadis', 'Good Town Doughnuts', 'Tenfanro', 'Turmeric', 'Trunk(Kitchen)', 'Gonpachi Nori-Temaki Harajuku', 'PDX Taproom', 'Mobo Moga', 'Erick South Masala Diner Jingumae', 'Wonder Bowl', 'Nataraj, Harajuku Omotesando', 'Premarche Gelateria']",,
Hotel Metropolitan Edmont Tokyo,4.0,713.0,22.0,"['Paid private parking on-site', 'Free High Speed Internet (WiFi)', 'Bar / lounge', 'Bicycle rental', 'Shuttle bus service', 'Business Centre with Internet Access', 'Conference facilities', 'Massage', 'Parking', 'Wifi', 'Coffee shop', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Vending machine', 'Banquet room', 'Meeting rooms', 'Salon', 'Baggage storage', 'Chapel / shrine', 'Concierge', 'Convenience store', 'Currency exchange', 'Gift shop', 'Newspaper', 'Shops', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service', 'Blackout curtains', 'Air conditioning', 'Housekeeping', 'Safe', 'Telephone', 'Refrigerator', 'Flatscreen TV', 'Bath / shower', 'Iron', 'Wake-up service / alarm clock', 'Complimentary toiletries', 'Hair dryer', 'Non-smoking rooms', 'Suites', 'Family rooms', 'Smoking rooms available']","['English', 'Japanese']","['Family', 'Modern']",,,740.0,35.0,97.0,"3-10-8 Iidabashi, Chiyoda 102-8130 Tokyo Prefecture","['Location', 'Cleanliness', 'Service', 'Value']",Tokyo,"{'Italian': 1, 'BarPub': 2, 'Chinese': 1, 'Grill': 3, 'Pub': 1, 'Japanese': 2, 'Diner': 1, 'Bar': 1}","['Megane Shokudo', 'Japanese Restaurant Hirakawa Hotel Metropolitan Edmont Tokyo', 'Teppanyaki Yamahiko', 'Sushi Umihiko', 'Nangoku Shuka Iidabashi', 'Crousel', 'Emmado Akasaka', 'Suigetsuin Iidabashi Honten', ""Shepherd's"", 'Dining Cafe Beltempo', 'Sushi Matsu', 'Patisserie Edmont', 'Bifteck Kawamura Roppongi branch', 'Chan Ki Cha Chan Teng', 'Gyoran House Eni', 'Iberico Bar Dicha', 'Hakata Ramen Center', 'Shimotsukikojitsu', 'Shabugen', 'Surutan', 'Kushitetsu', 'Ginzo Suidobashiten', 'Shinsuoen Igarden Terrace Iidabashi', 'Nakau Iidabashi East Entrance', 'Bistro Vino Roppongi', ""Tully's Coffee, Iidabashi Garden Air Tower"", 'Curry Bito', 'Echigoya Kihee', 'Unoya', 'Apa President Curry Iidabashi Station South', 'Nakamigawa', 'Ganso Yakitori Kushihatchin Iidabashi', 'Trois Sages', 'Momijiya', 'Ryumonshuka', 'Yakiniku Like iidabashi', 'Sheyda Bar']",35.701869200000004,139.74538080000002
